Pokedex Number,Pokemon Id,Pokemon Name,Classification,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type
400,601,"""Bibarel""","""Beaver Pokémon""",NULL,NULL,1,31.5,"""Normal""","""Water"""
401,602,"""Kricketot""","""Cricket Pokémon""",NULL,NULL,0.3,2.2,"""Bug""",NULL
402,603,"""Kricketune""","""Cricket Pokémon""",NULL,NULL,1,25.5,"""Bug""",NULL
403,20,"""Shinx""","""Flash Pokémon""",NULL,NULL,0.5,9.5,"""Electric""",NULL
404,21,"""Luxio""","""Spark Pokémon""",NULL,NULL,0.9,30.5,"""Electric""",NULL
405,22,"""Luxray""","""Gleam Eyes Pokémon""",NULL,NULL,1.4,42,"""Electric""",NULL
406,604,"""Budew""","""Bud Pokémon""",NULL,NULL,0.2,1.2,"""Grass""","""Poison"""
407,605,"""Roserade""","""Bouquet Pokémon""",NULL,NULL,0.9,14.5,"""Grass""","""Poison"""
408,606,"""Cranidos""","""Head Butt Pokémon""",NULL,NULL,0.9,31.5,"""Rock""",NULL
409,607,"""Rampardos""","""Head Butt Pokémon""",NULL,NULL,1.6,102.5,"""Rock""",NULL
410,608,"""Shieldon""","""Shield Pokémon""",NULL,NULL,0.5,57,"""Rock""","""Steel"""
411,609,"""Bastiodon""","""Shield Pokémon""",NULL,NULL,1.3,149.5,"""Rock""","""Steel"""
412,610,"""Burmy""","""Bagworm Pokémon""",NULL,NULL,0.2,3.4,"""Bug""",NULL
412,1645,"""Burmy""","""Bagworm Pokémon""","""Sandy""",NULL,0.2,3.4,"""Bug""",NULL
412,1646,"""Burmy""","""Bagworm Pokémon""","""Trash""",NULL,0.2,3.4,"""Bug""",NULL
413,1568,"""Wormadam""","""Bagworm Pokémon""","""Sandy""",NULL,0.5,6.5,"""Bug""","""Ground"""
413,1569,"""Wormadam""","""Bagworm Pokémon""","""Trash""",NULL,0.5,6.5,"""Bug""","""Steel"""
413,611,"""Wormadam""","""Bagworm Pokémon""",NULL,NULL,0.5,6.5,"""Bug""","""Grass"""
414,612,"""Mothim""","""Moth Pokémon""",NULL,NULL,0.9,23.3,"""Bug""","""Flying"""
415,613,"""Combee""","""Tiny Bee Pokémon""",NULL,NULL,0.3,5.5,"""Bug""","""Flying"""
416,614,"""Vespiquen""","""Beehive Pokémon""",NULL,NULL,1.2,38.5,"""Bug""","""Flying"""
417,615,"""Pachirisu""","""EleSquirrel Pokémon""",NULL,NULL,0.4,3.9,"""Electric""",NULL
418,616,"""Buizel""","""Sea Weasel Pokémon""",NULL,NULL,0.7,29.5,"""Water""",NULL
419,617,"""Floatzel""","""Sea Weasel Pokémon""",NULL,NULL,1.1,33.5,"""Water""",NULL
420,618,"""Cherubi""","""Cherry Pokémon""",NULL,NULL,0.4,3.3,"""Grass""",NULL
421,619,"""Cherrim""","""Blossom Pokémon""",NULL,NULL,0.5,9.3,"""Grass""",NULL
422,620,"""Shellos""","""Sea Slug Pokémon""",NULL,NULL,0.3,6.3,"""Water""",NULL
423,621,"""Gastrodon""","""Sea Slug Pokémon""",NULL,NULL,0.9,29.9,"""Water""","""Ground"""
424,622,"""Ambipom""","""Long Tail Pokémon""",NULL,NULL,1.2,20.3,"""Normal""",NULL
425,623,"""Drifloon""","""Balloon Pokémon""",NULL,NULL,0.4,1.2,"""Ghost""","""Flying"""
426,624,"""Drifblim""","""Blimp Pokémon""",NULL,NULL,1.2,15,"""Ghost""","""Flying"""
427,625,"""Buneary""","""Rabbit Pokémon""",NULL,NULL,0.4,5.5,"""Normal""",NULL
428,626,"""Lopunny""","""Rabbit Pokémon""",NULL,NULL,1.2,33.3,"""Normal""",NULL
428,1593,"""Lopunny""","""Rabbit Pokémon""","""Mega""",NULL,1.3,28.3,"""Normal""","""Fighting"""
429,627,"""Mismagius""","""Magical Pokémon""",NULL,NULL,0.9,4.4,"""Ghost""",NULL
430,628,"""Honchkrow""","""Big Boss Pokémon""",NULL,NULL,0.9,27.3,"""Dark""","""Flying"""
431,629,"""Glameow""","""Catty Pokémon""",NULL,NULL,0.5,3.9,"""Normal""",NULL
432,630,"""Purugly""","""Tiger Cat Pokémon""",NULL,NULL,1,43.8,"""Normal""",NULL
433,631,"""Chingling""","""Bell Pokémon""",NULL,NULL,0.2,0.6,"""Psychic""",NULL
434,632,"""Stunky""","""Skunk Pokémon""",NULL,NULL,0.4,19.2,"""Poison""","""Dark"""
435,633,"""Skuntank""","""Skunk Pokémon""",NULL,NULL,1,38,"""Poison""","""Dark"""
436,634,"""Bronzor""","""Bronze Pokémon""",NULL,NULL,0.5,60.5,"""Steel""","""Psychic"""
437,635,"""Bronzong""","""Bronze Bell Pokémon""",NULL,NULL,1.3,187,"""Steel""","""Psychic"""
438,636,"""Bonsly""","""Bonsai Pokémon""",NULL,NULL,0.5,15,"""Rock""",NULL
439,637,"""Mime Jr.""","""Mime Pokémon""",NULL,NULL,0.6,13,"""Psychic""","""Fairy"""
440,638,"""Happiny""","""Playhouse Pokémon""",NULL,NULL,0.6,24.4,"""Normal""",NULL
441,639,"""Chatot""","""Music Note Pokémon""",NULL,NULL,0.5,1.9,"""Normal""","""Flying"""
442,640,"""Spiritomb""","""Forbidden Pokémon""",NULL,NULL,1,108,"""Ghost""","""Dark"""
443,641,"""Gible""","""Land Shark Pokémon""",NULL,NULL,0.7,20.5,"""Dragon""","""Ground"""
444,642,"""Gabite""","""Cave Pokémon""",NULL,NULL,1.4,56,"""Dragon""","""Ground"""
445,643,"""Garchomp""","""Mach Pokémon""",NULL,NULL,1.9,95,"""Dragon""","""Ground"""
445,1438,"""Garchomp""","""Mach Pokémon""","""Mega""",NULL,1.9,95,"""Dragon""","""Ground"""
446,644,"""Munchlax""","""Big Eater Pokémon""",NULL,NULL,0.6,105,"""Normal""",NULL
447,645,"""Riolu""","""Emanation Pokémon""",NULL,NULL,0.7,20.2,"""Fighting""",NULL
448,646,"""Lucario""","""Aura Pokémon""",NULL,NULL,1.2,54,"""Fighting""","""Steel"""
448,1561,"""Lucario""","""Aura Pokémon""","""Mega""",NULL,1.3,57.5,"""Fighting""","""Steel"""
449,647,"""Hippopotas""","""Hippo Pokémon""",NULL,NULL,0.8,49.5,"""Ground""",NULL
450,648,"""Hippowdon""","""Heavyweight Pokémon""",NULL,NULL,2,300,"""Ground""",NULL
451,649,"""Skorupi""","""Scorpion Pokémon""",NULL,NULL,0.8,12,"""Poison""","""Bug"""
452,650,"""Drapion""","""Ogre Scorpion Pokémon""",NULL,NULL,1.3,61.5,"""Poison""","""Dark"""
453,651,"""Croagunk""","""Toxic Mouth Pokémon""",NULL,NULL,0.7,23,"""Poison""","""Fighting"""
454,652,"""Toxicroak""","""Toxic Mouth Pokémon""",NULL,NULL,1.3,44.4,"""Poison""","""Fighting"""
455,653,"""Carnivine""","""Bug Catcher Pokémon""",NULL,NULL,1.4,27,"""Grass""",NULL
456,654,"""Finneon""","""Wing Fish Pokémon""",NULL,NULL,0.4,7,"""Water""",NULL
457,655,"""Lumineon""","""Neon Pokémon""",NULL,NULL,1.2,24,"""Water""",NULL
458,656,"""Mantyke""","""Kite Pokémon""",NULL,NULL,1,65,"""Water""","""Flying"""
459,657,"""Snover""","""Frost Tree Pokémon""",NULL,NULL,1,50.5,"""Grass""","""Ice"""
460,658,"""Abomasnow""","""Frost Tree Pokémon""",NULL,NULL,2.2,135.5,"""Grass""","""Ice"""
460,1562,"""Abomasnow""","""Frost Tree Pokémon""","""Mega""",NULL,2.7,185,"""Grass""","""Ice"""
461,683,"""Weavile""","""Sharp Claw Pokémon""",NULL,NULL,1.1,34,"""Dark""","""Ice"""
462,684,"""Magnezone""","""Magnet Area Pokémon""",NULL,NULL,1.2,180,"""Electric""","""Steel"""
462,684,"""Magnezone""","""Magnet Area Pokémon""",NULL,NULL,1.2,180,"""Electric""","""Steel"""
463,685,"""Lickilicky""","""Licking Pokémon""",NULL,NULL,1.7,140,"""Normal""",NULL
464,686,"""Rhyperior""","""Drill Pokémon""",NULL,NULL,2.4,282.8,"""Ground""","""Rock"""
465,687,"""Tangrowth""","""Vine Pokémon""",NULL,NULL,2,128.6,"""Grass""",NULL
466,688,"""Electivire""","""Thunderbolt Pokémon""",NULL,NULL,1.8,138.6,"""Electric""",NULL
467,699,"""Magmortar""","""Blast Pokémon""",NULL,NULL,1.6,68,"""Fire""",NULL
468,713,"""Togekiss""","""Jubilee Pokémon""",NULL,NULL,1.5,38,"""Fairy""","""Flying"""
469,714,"""Yanmega""","""Ogre Darner Pokémon""",NULL,NULL,1.9,51.5,"""Bug""","""Flying"""
470,715,"""Leafeon""","""Verdant Pokémon""",NULL,NULL,1,25.5,"""Grass""",NULL
470,715,"""Leafeon""","""Verdant Pokémon""",NULL,NULL,1,25.5,"""Grass""",NULL
471,716,"""Glaceon""","""Fresh Snow Pokémon""",NULL,NULL,0.8,25.9,"""Ice""",NULL
471,716,"""Glaceon""","""Fresh Snow Pokémon""",NULL,NULL,0.8,25.9,"""Ice""",NULL
472,717,"""Gliscor""","""Fang Scorpion Pokémon""",NULL,NULL,2,42.5,"""Ground""","""Flying"""
473,718,"""Mamoswine""","""Twin Tusk Pokémon""",NULL,NULL,2.5,291,"""Ice""","""Ground"""
474,719,"""Porygon-Z""","""Virtual Pokémon""",NULL,NULL,0.9,34,"""Normal""",NULL
475,720,"""Gallade""","""Blade Pokémon""",NULL,NULL,1.6,52,"""Psychic""","""Fighting"""
475,1436,"""Gallade""","""Blade Pokémon""","""Mega""",NULL,1.6,56.4,"""Psychic""","""Fighting"""
476,726,"""Probopass""","""Compass Pokémon""",NULL,NULL,1.4,340,"""Rock""","""Steel"""
476,726,"""Probopass""","""Compass Pokémon""",NULL,NULL,1.4,340,"""Rock""","""Steel"""
477,727,"""Dusknoir""","""Gripper Pokémon""",NULL,NULL,2.2,106.6,"""Ghost""",NULL
478,728,"""Froslass""","""Snow Land Pokémon""",NULL,NULL,1.3,26.6,"""Ice""","""Ghost"""
479,729,"""Rotom""","""Plasma Pokémon""",NULL,NULL,0.3,0.3,"""Electric""","""Ghost"""
479,1408,"""Rotom""","""Plasma Pokémon""","""Heat""",NULL,0.3,0.3,"""Electric""","""Fire"""
479,1409,"""Rotom""","""Plasma Pokémon""","""Wash""",NULL,0.3,0.3,"""Electric""","""Water"""
479,1410,"""Rotom""","""Plasma Pokémon""","""Frost""",NULL,0.3,0.3,"""Electric""","""Ice"""
479,1411,"""Rotom""","""Plasma Pokémon""","""Fan""",NULL,0.3,0.3,"""Electric""","""Flying"""
479,1413,"""Rotom""","""Plasma Pokémon""","""Mow""",NULL,0.3,0.3,"""Electric""","""Grass"""
480,730,"""Uxie""","""Knowledge Pokémon""",NULL,"""Sub-Legendary""",0.3,0.3,"""Psychic""",NULL
481,731,"""Mesprit""","""Emotion Pokémon""",NULL,"""Sub-Legendary""",0.3,0.3,"""Psychic""",NULL
482,732,"""Azelf""","""Willpower Pokémon""",NULL,"""Sub-Legendary""",0.3,0.3,"""Psychic""",NULL
483,733,"""Dialga""","""Temporal Pokémon""",NULL,"""Legendary""",5.4,683,"""Steel""","""Dragon"""
483,1633,"""Dialga""","""Temporal Pokémon""","""Origin""",NULL,7,850,"""Steel""","""Dragon"""
484,1634,"""Palkia""","""Spatial Pokémon""","""Origin""",NULL,6.3,660,"""Water""","""Dragon"""
484,734,"""Palkia""","""Spatial Pokémon""",NULL,"""Legendary""",4.2,336,"""Water""","""Dragon"""
485,735,"""Heatran""","""Lava Dome Pokémon""",NULL,"""Sub-Legendary""",1.7,430,"""Fire""","""Steel"""
486,736,"""Regigigas""","""Colossal Pokémon""",NULL,"""Sub-Legendary""",3.7,420,"""Normal""",NULL
487,737,"""Giratina""","""Renegade Pokémon""",NULL,"""Legendary""",4.5,750,"""Ghost""","""Dragon"""
487,1401,"""Giratina""","""Renegade Pokémon""","""Origin""","""Legendary""",6.9,650,"""Ghost""","""Dragon"""
488,738,"""Cresselia""","""Lunar Pokémon""",NULL,"""Sub-Legendary""",1.5,85.6,"""Psychic""",NULL
489,36,"""Phione""","""Sea Drifter Pokémon""",NULL,"""Mythical""",0.4,3.1,"""Water""",NULL
490,37,"""Manaphy""","""Seafaring Pokémon""",NULL,"""Mythical""",0.3,1.4,"""Water""",NULL
491,739,"""Darkrai""","""Pitch-Black Pokémon""",NULL,"""Mythical""",1.5,50.5,"""Dark""",NULL
492,740,"""Shaymin""","""Gratitude Pokémon""",NULL,"""Mythical""",0.2,2.1,"""Grass""",NULL
492,1407,"""Shaymin""","""Gratitude Pokémon""","""Sky""","""Mythical""",0.4,5.2,"""Grass""","""Flying"""
493,741,"""Arceus""","""Alpha Pokémon""",NULL,"""Mythical""",3.2,320,"""Normal""",NULL
494,742,"""Victini""","""Victory Pokémon""",NULL,"""Mythical""",0.4,4,"""Psychic""","""Fire"""
495,829,"""Snivy""","""Grass Snake Pokémon""",NULL,NULL,0.6,8.1,"""Grass""",NULL
496,830,"""Servine""","""Grass Snake Pokémon""",NULL,NULL,0.8,16,"""Grass""",NULL
497,831,"""Serperior""","""Regal Pokémon""",NULL,NULL,3.3,63,"""Grass""",NULL
498,832,"""Tepig""","""Fire Pig Pokémon""",NULL,NULL,0.5,9.9,"""Fire""",NULL
499,833,"""Pignite""","""Fire Pig Pokémon""",NULL,NULL,1,55.5,"""Fire""","""Fighting"""
500,834,"""Emboar""","""Mega Fire Pig Pokémon""",NULL,NULL,1.6,150,"""Fire""","""Fighting"""
501,835,"""Oshawott""","""Sea Otter Pokémon""",NULL,NULL,0.5,5.9,"""Water""",NULL
502,836,"""Dewott""","""Discipline Pokémon""",NULL,NULL,0.8,24.5,"""Water""",NULL
503,837,"""Samurott""","""Formidable Pokémon""",NULL,NULL,1.5,94.6,"""Water""",NULL
503,1629,"""Samurott""","""Formidable Pokémon""","""Hisui""",NULL,1.5,58.2,"""Water""","""Dark"""
504,838,"""Patrat""","""Scout Pokémon""",NULL,NULL,0.5,11.6,"""Normal""",NULL
505,839,"""Watchog""","""Lookout Pokémon""",NULL,NULL,1.1,27,"""Normal""",NULL
506,840,"""Lillipup""","""Puppy Pokémon""",NULL,NULL,0.4,4.1,"""Normal""",NULL
507,841,"""Herdier""","""Loyal Dog Pokémon""",NULL,NULL,0.9,14.7,"""Normal""",NULL
508,842,"""Stoutland""","""Big-Hearted Pokémon""",NULL,NULL,1.2,61,"""Normal""",NULL
509,843,"""Purrloin""","""Devious Pokémon""",NULL,NULL,0.4,10.1,"""Dark""",NULL
510,844,"""Liepard""","""Cruel Pokémon""",NULL,NULL,1.1,37.5,"""Dark""",NULL
511,845,"""Pansage""","""Grass Monkey Pokémon""",NULL,NULL,0.6,10.5,"""Grass""",NULL
512,846,"""Simisage""","""Thorn Monkey Pokémon""",NULL,NULL,1.1,30.5,"""Grass""",NULL
513,847,"""Pansear""","""High Temp Pokémon""",NULL,NULL,0.6,11,"""Fire""",NULL
514,848,"""Simisear""","""Ember Pokémon""",NULL,NULL,1,28,"""Fire""",NULL
515,849,"""Panpour""","""Spray Pokémon""",NULL,NULL,0.6,13.5,"""Water""",NULL
516,850,"""Simipour""","""Geyser Pokémon""",NULL,NULL,1,29,"""Water""",NULL
517,851,"""Munna""","""Dream Eater Pokémon""",NULL,NULL,0.6,23.3,"""Psychic""",NULL
518,852,"""Musharna""","""Drowsing Pokémon""",NULL,NULL,1.1,60.5,"""Psychic""",NULL
519,853,"""Pidove""","""Tiny Pigeon Pokémon""",NULL,NULL,0.3,2.1,"""Normal""","""Flying"""
520,854,"""Tranquill""","""Wild Pigeon Pokémon""",NULL,NULL,0.6,15,"""Normal""","""Flying"""
521,855,"""Unfezant""","""Proud Pokémon""",NULL,NULL,1.2,29,"""Normal""","""Flying"""
522,856,"""Blitzle""","""Electrified Pokémon""",NULL,NULL,0.8,29.8,"""Electric""",NULL
523,857,"""Zebstrika""","""Thunderbolt Pokémon""",NULL,NULL,1.6,79.5,"""Electric""",NULL
524,858,"""Roggenrola""","""Mantle Pokémon""",NULL,NULL,0.4,18,"""Rock""",NULL
525,859,"""Boldore""","""Ore Pokémon""",NULL,NULL,0.9,102,"""Rock""",NULL
526,860,"""Gigalith""","""Compressed Pokémon""",NULL,NULL,1.7,260,"""Rock""",NULL
527,861,"""Woobat""","""Bat Pokémon""",NULL,NULL,0.4,2.1,"""Psychic""","""Flying"""
528,862,"""Swoobat""","""Courting Pokémon""",NULL,NULL,0.9,10.5,"""Psychic""","""Flying"""
529,863,"""Drilbur""","""Mole Pokémon""",NULL,NULL,0.3,8.5,"""Ground""",NULL
530,864,"""Excadrill""","""Subterrene Pokémon""",NULL,NULL,0.7,40.4,"""Ground""","""Steel"""
531,865,"""Audino""","""Hearing Pokémon""",NULL,NULL,1.1,31,"""Normal""",NULL
531,1563,"""Audino""","""Hearing Pokémon""","""Mega""",NULL,1.5,32,"""Normal""","""Fairy"""
532,866,"""Timburr""","""Muscular Pokémon""",NULL,NULL,0.6,12.5,"""Fighting""",NULL
533,867,"""Gurdurr""","""Muscular Pokémon""",NULL,NULL,1.2,40,"""Fighting""",NULL
534,868,"""Conkeldurr""","""Muscular Pokémon""",NULL,NULL,1.4,87,"""Fighting""",NULL
535,869,"""Tympole""","""Tadpole Pokémon""",NULL,NULL,0.5,4.5,"""Water""",NULL
536,870,"""Palpitoad""","""Vibration Pokémon""",NULL,NULL,0.8,17,"""Water""","""Ground"""
537,871,"""Seismitoad""","""Vibration Pokémon""",NULL,NULL,1.5,62,"""Water""","""Ground"""
538,872,"""Throh""","""Judo Pokémon""",NULL,NULL,1.3,55.5,"""Fighting""",NULL
539,873,"""Sawk""","""Karate Pokémon""",NULL,NULL,1.4,41,"""Fighting""",NULL
540,874,"""Sewaddle""","""Sewing Pokémon""",NULL,NULL,0.3,2.5,"""Bug""","""Grass"""
541,875,"""Swadloon""","""Leaf-Wrapped Pokémon""",NULL,NULL,0.5,7.3,"""Bug""","""Grass"""
542,876,"""Leavanny""","""Nurturing Pokémon""",NULL,NULL,1.2,20.5,"""Bug""","""Grass"""
543,877,"""Venipede""","""Centipede Pokémon""",NULL,NULL,0.4,5.3,"""Bug""","""Poison"""
544,878,"""Whirlipede""","""Curlipede Pokémon""",NULL,NULL,1.2,58.5,"""Bug""","""Poison"""
545,879,"""Scolipede""","""Megapede Pokémon""",NULL,NULL,2.5,200.5,"""Bug""","""Poison"""
546,880,"""Cottonee""","""Cotton Puff Pokémon""",NULL,NULL,0.3,0.6,"""Grass""","""Fairy"""
547,881,"""Whimsicott""","""Windveiled Pokémon""",NULL,NULL,0.7,6.6,"""Grass""","""Fairy"""
548,882,"""Petilil""","""Bulb Pokémon""",NULL,NULL,0.5,6.6,"""Grass""",NULL
549,883,"""Lilligant""","""Flowering Pokémon""",NULL,NULL,1.1,16.3,"""Grass""",NULL
549,1640,"""Lilligant""","""Spinning Pokémon""","""Hisui""",NULL,1.2,19.2,"""Grass""","""Fighting"""
550,1623,"""Basculin""","""Mellow Pokémon""","""White-Striped""",NULL,1,18,"""Water""",NULL
550,1414,"""Basculin""","""Hostile Pokémon""","""Blue-Striped""",NULL,1,18,"""Water""",NULL
550,885,"""Basculin""","""Hostile Pokémon""",NULL,NULL,1,18,"""Water""",NULL
551,886,"""Sandile""","""Desert Croc Pokémon""",NULL,NULL,0.7,15.2,"""Ground""","""Dark"""
552,887,"""Krokorok""","""Desert Croc Pokémon""",NULL,NULL,1,33.4,"""Ground""","""Dark"""
553,888,"""Krookodile""","""Intimidation Pokémon""",NULL,NULL,1.5,96.3,"""Ground""","""Dark"""
554,889,"""Darumaka""","""Zen Charm Pokémon""",NULL,NULL,0.6,37.5,"""Fire""",NULL
554,1557,"""Darumaka""","""Zen Charm Pokémon""","""Galar""",NULL,0.7,40,"""Ice""",NULL
555,1554,"""Darmanitan""","""Blazing Pokémon""","""Zen""",NULL,1.3,92.9,"""Fire""","""Psychic"""
555,1555,"""Darmanitan""","""Zen Charm Pokémon""","""Galar""",NULL,1.7,120,"""Ice""",NULL
555,1556,"""Darmanitan""","""Zen Charm Pokémon""","""Galar Zen""",NULL,1.7,120,"""Ice""","""Fire"""
555,890,"""Darmanitan""","""Blazing Pokémon""",NULL,NULL,1.3,92.9,"""Fire""",NULL
556,891,"""Maractus""","""Cactus Pokémon""",NULL,NULL,1,28,"""Grass""",NULL
557,892,"""Dwebble""","""Rock Inn Pokémon""",NULL,NULL,0.3,14.5,"""Bug""","""Rock"""
558,893,"""Crustle""","""Stone Home Pokémon""",NULL,NULL,1.4,200,"""Bug""","""Rock"""
559,894,"""Scraggy""","""Shedding Pokémon""",NULL,NULL,0.6,11.8,"""Dark""","""Fighting"""
560,914,"""Scrafty""","""Hoodlum Pokémon""",NULL,NULL,1.1,30,"""Dark""","""Fighting"""
561,915,"""Sigilyph""","""Avianoid Pokémon""",NULL,NULL,1.4,14,"""Psychic""","""Flying"""
562,916,"""Yamask""","""Spirit Pokémon""",NULL,NULL,0.5,1.5,"""Ghost""",NULL
562,1464,"""Yamask""","""Spirit Pokémon""","""Galar""",NULL,0.5,1.5,"""Ground""","""Ghost"""
563,917,"""Cofagrigus""","""Coffin Pokémon""",NULL,NULL,1.7,76.5,"""Ghost""",NULL
564,918,"""Tirtouga""","""Prototurtle Pokémon""",NULL,NULL,0.7,16.5,"""Water""","""Rock"""
565,919,"""Carracosta""","""Prototurtle Pokémon""",NULL,NULL,1.2,81,"""Water""","""Rock"""
566,920,"""Archen""","""First Bird Pokémon""",NULL,NULL,0.5,9.5,"""Rock""","""Flying"""
567,921,"""Archeops""","""First Bird Pokémon""",NULL,NULL,1.4,32,"""Rock""","""Flying"""
568,922,"""Trubbish""","""Trash Bag Pokémon""",NULL,NULL,0.6,31,"""Poison""",NULL
569,923,"""Garbodor""","""Trash Heap Pokémon""",NULL,NULL,1.9,107.3,"""Poison""",NULL
569,1551,"""Garbodor""","""Trash Heap Pokémon""","""Gigantamax""",NULL,21,0,"""Poison""",NULL
570,1617,"""Zorua""","""Spiteful Fox Pokémon""","""Hisui""",NULL,0.7,12.5,"""Normal""","""Ghost"""
570,939,"""Zorua""","""Tricky Fox Pokémon""",NULL,NULL,0.7,12.5,"""Dark""",NULL
571,940,"""Zoroark""","""Illusion Fox Pokémon""",NULL,NULL,1.6,81.1,"""Dark""",NULL
571,1619,"""Zoroark""","""Baneful Fox Pokémon""","""Hisui""",NULL,1.6,73,"""Normal""","""Ghost"""
572,941,"""Minccino""","""Chinchilla Pokémon""",NULL,NULL,0.4,5.8,"""Normal""",NULL
573,942,"""Cinccino""","""Scarf Pokémon""",NULL,NULL,0.5,7.5,"""Normal""",NULL
574,943,"""Gothita""","""Fixation Pokémon""",NULL,NULL,0.4,5.8,"""Psychic""",NULL
575,944,"""Gothorita""","""Manipulate Pokémon""",NULL,NULL,0.7,18,"""Psychic""",NULL
576,945,"""Gothitelle""","""Astral Body Pokémon""",NULL,NULL,1.5,44,"""Psychic""",NULL
577,946,"""Solosis""","""Cell Pokémon""",NULL,NULL,0.3,1,"""Psychic""",NULL
578,947,"""Duosion""","""Mitosis Pokémon""",NULL,NULL,0.6,8,"""Psychic""",NULL
579,948,"""Reuniclus""","""Multiplying Pokémon""",NULL,NULL,1,20.1,"""Psychic""",NULL
580,950,"""Ducklett""","""Water Bird Pokémon""",NULL,NULL,0.5,5.5,"""Water""","""Flying"""
581,951,"""Swanna""","""White Bird Pokémon""",NULL,NULL,1.3,24.2,"""Water""","""Flying"""
582,952,"""Vanillite""","""Fresh Snow Pokémon""",NULL,NULL,0.4,5.7,"""Ice""",NULL
583,953,"""Vanillish""","""Icy Snow Pokémon""",NULL,NULL,1.1,41,"""Ice""",NULL
584,954,"""Vanilluxe""","""Snowstorm Pokémon""",NULL,NULL,1.3,57.5,"""Ice""",NULL
585,955,"""Deerling""","""Season Pokémon""",NULL,NULL,0.6,19.5,"""Normal""","""Grass"""
586,956,"""Sawsbuck""","""Season Pokémon""",NULL,NULL,1.9,92.5,"""Normal""","""Grass"""
587,957,"""Emolga""","""Sky Squirrel Pokémon""",NULL,NULL,0.4,5,"""Electric""","""Flying"""
588,958,"""Karrablast""","""Clamping Pokémon""",NULL,NULL,0.5,5.9,"""Bug""",NULL
589,959,"""Escavalier""","""Cavalry Pokémon""",NULL,NULL,1,33,"""Bug""","""Steel"""
590,961,"""Foongus""","""Mushroom Pokémon""",NULL,NULL,0.2,1,"""Grass""","""Poison"""
591,962,"""Amoonguss""","""Mushroom Pokémon""",NULL,NULL,0.6,10.5,"""Grass""","""Poison"""
592,963,"""Frillish""","""Floating Pokémon""",NULL,NULL,1.2,33,"""Water""","""Ghost"""
593,964,"""Jellicent""","""Floating Pokémon""",NULL,NULL,2.2,135,"""Water""","""Ghost"""
594,965,"""Alomomola""","""Caring Pokémon""",NULL,NULL,1.2,31.6,"""Water""",NULL
595,966,"""Joltik""","""Attaching Pokémon""",NULL,NULL,0.1,0.6,"""Bug""","""Electric"""
596,967,"""Galvantula""","""EleSpider Pokémon""",NULL,NULL,0.8,14.3,"""Bug""","""Electric"""
597,968,"""Ferroseed""","""Thorn Seed Pokémon""",NULL,NULL,0.6,18.8,"""Grass""","""Steel"""
598,969,"""Ferrothorn""","""Thorn Pod Pokémon""",NULL,NULL,1,110,"""Grass""","""Steel"""
599,970,"""Klink""","""Gear Pokémon""",NULL,NULL,0.3,21,"""Steel""",NULL
600,972,"""Klang""","""Gear Pokémon""",NULL,NULL,0.6,51,"""Steel""",NULL
601,973,"""Klinklang""","""Gear Pokémon""",NULL,NULL,0.6,81,"""Steel""",NULL
602,974,"""Tynamo""","""EleFish Pokémon""",NULL,NULL,0.2,0.3,"""Electric""",NULL
603,975,"""Eelektrik""","""EleFish Pokémon""",NULL,NULL,1.2,22,"""Electric""",NULL
604,976,"""Eelektross""","""EleFish Pokémon""",NULL,NULL,2.1,80.5,"""Electric""",NULL
605,977,"""Elgyem""","""Cerebral Pokémon""",NULL,NULL,0.5,9,"""Psychic""",NULL
606,978,"""Beheeyem""","""Cerebral Pokémon""",NULL,NULL,1,34.5,"""Psychic""",NULL
607,979,"""Litwick""","""Candle Pokémon""",NULL,NULL,0.3,3.1,"""Ghost""","""Fire"""
608,980,"""Lampent""","""Lamp Pokémon""",NULL,NULL,0.6,13,"""Ghost""","""Fire"""
609,981,"""Chandelure""","""Luring Pokémon""",NULL,NULL,1,34.3,"""Ghost""","""Fire"""
610,983,"""Axew""","""Tusk Pokémon""",NULL,NULL,0.6,18,"""Dragon""",NULL
611,984,"""Fraxure""","""Axe Jaw Pokémon""",NULL,NULL,1,36,"""Dragon""",NULL
612,985,"""Haxorus""","""Axe Jaw Pokémon""",NULL,NULL,1.8,105.5,"""Dragon""",NULL
613,986,"""Cubchoo""","""Chill Pokémon""",NULL,NULL,0.5,8.5,"""Ice""",NULL
614,987,"""Beartic""","""Freezing Pokémon""",NULL,NULL,2.6,260,"""Ice""",NULL
615,988,"""Cryogonal""","""Crystallizing Pokémon""",NULL,NULL,1.1,148,"""Ice""",NULL
616,989,"""Shelmet""","""Snail Pokémon""",NULL,NULL,0.4,7.7,"""Bug""",NULL
617,990,"""Accelgor""","""Shell Out Pokémon""",NULL,NULL,0.8,25.3,"""Bug""",NULL
618,991,"""Stunfisk""","""Trap Pokémon""",NULL,NULL,0.7,11,"""Ground""","""Electric"""
618,1553,"""Stunfisk""","""Trap Pokémon""","""Galar""",NULL,0.7,20.5,"""Ground""","""Steel"""
619,992,"""Mienfoo""","""Martial Arts Pokémon""",NULL,NULL,0.9,20,"""Fighting""",NULL
620,994,"""Mienshao""","""Martial Arts Pokémon""",NULL,NULL,1.4,35.5,"""Fighting""",NULL
621,995,"""Druddigon""","""Cave Pokémon""",NULL,NULL,1.6,139,"""Dragon""",NULL
